,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
"Phenyldiethylarsine oxide, o-nitro-","Phenyldiethylarsine oxide, o-nitro-",0.1287394658763212,0.07192433572927162,0.574468085106383,0.12698412698412698,0.19117647058823528,0.22033898305084745,0.25,0.10777705536262149,0.05806033792403824,0.5357142857142857,0.1076923076923077,0.15714285714285714,0.1794871794871795,0.20307971014492757,0.10605683437305477,0.05713826034829459,0.5357142857142857,0.10526315789473684,0.15384615384615385,0.17647058823529413,0.2,0.2593033293553579,0.10729535113314417,0.7647058823529411,0.25,0.15384615384615385,0.17647058823529413,0.2
"Propane, 1,3-dihydroxy-2-(2-bishydroxyethyl)amino-2-hydroxymethyl-","Propane, 1,3-dihydroxy-2-(2-bishydroxyethyl)amino-2-hydroxymethyl-",0.020621149632485604,0.025996866133683377,0.34210526315789475,0.015625,0.03571428571428571,0.05263157894736842,0.07017543859649122,0.019231664003276864,0.02366225285032272,0.3170731707317073,0.0136986301369863,0.031746031746031744,0.047058823529411764,0.06521739130434782,0.019179876676062142,0.02357340974298193,0.3170731707317073,0.013513513513513514,0.031746031746031744,0.046875,0.06521739130434782,0.12116789256578486,0.05878830966492944,0.5483870967741935,0.11627906976744186,0.031746031746031744,0.046875,0.06521739130434782
"Benzenesulfonic acid, 4-hydroxy-3-(p-tolylazo)-","Benzenesulfonic acid, 4-hydroxy-3-(p-tolylazo)-",0.13068894608282774,0.06822482014476676,0.4794520547945205,0.12658227848101267,0.18666666666666668,0.21686746987951808,0.24096385542168675,0.10722088600016615,0.05439903119331389,0.39361702127659576,0.10465116279069768,0.15217391304347827,0.1744186046511628,0.1935483870967742,0.09895194352297848,0.04935061474987287,0.35514018691588783,0.0967741935483871,0.14018691588785046,0.15833333333333333,0.17757009345794392,0.2944855072162576,0.10791060220880215,0.8148148148148148,0.2903225806451613,0.14018691588785046,0.15833333333333333,0.17757009345794392
"propane, 1-(N-t-butyl-2-hydroxypropyl)amino-2-hydroxy-","propane, 1-(N-t-butyl-2-hydroxypropyl)amino-2-hydroxy-",0.034750919634945095,0.032703680764808764,0.34146341463414637,0.029411764705882353,0.05172413793103448,0.07272727272727272,0.1,0.032239415725368266,0.029242715966424162,0.30434782608695654,0.02631578947368421,0.04838709677419355,0.06578947368421052,0.08955223880597014,0.031626527111054015,0.028577531170277146,0.2978723404255319,0.025974025974025976,0.047619047619047616,0.06451612903225806,0.08756674294431745,0.1766928392571717,0.07276987037250127,0.6111111111111112,0.16666666666666666,0.047619047619047616,0.06451612903225806,0.08756674294431745
"Pyrimidine, 2-amino-4-chloro-3,6-dihydro-6-imino-3-methyl-","Pyrimidine, 2-amino-4-chloro-3,6-dihydro-6-imino-3-methyl-",0.09273163003625344,0.052448638123780464,1.0,0.0875,0.13114754098360656,0.15384615384615385,0.18,0.07743849441744606,0.04317905202026895,1.0,0.07272727272727272,0.10714285714285714,0.12727272727272726,0.14705882352941177,0.07606283354101527,0.04265336503743558,1.0,0.07142857142857142,0.10526315789473684,0.125,0.14539589442815254,0.3135291514232374,0.14988181900452918,1.0,0.2857142857142857,0.10526315789473684,0.125,0.14539589442815254
"Propanoic acid, 2-oxo-3-(5-phenyl-1,2-dithiacyclopent-4-en-1-ylidene)-","Propanoic acid, 2-oxo-3-(5-phenyl-1,2-dithiacyclopent-4-en-1-ylidene)-",0.1256621338403545,0.07307356776325484,0.3968253968253968,0.11688311688311688,0.19402985074626866,0.2289156626506024,0.25609756097560976,0.10452136418536659,0.06036223116634203,0.3375,0.09774436090225563,0.15714285714285714,0.1875,0.21505376344086022,0.09782749210425595,0.05590449057861917,0.3068181818181818,0.09183673469387756,0.14655172413793102,0.1751546391752578,0.19801980198019803,0.27070899136352317,0.0914023491116695,0.6666666666666666,0.2558139534883721,0.14655172413793102,0.1751546391752578,0.19801980198019803
"Pteridine, 6-anilinomethyl-4-hydroxy-","Pteridine, 6-anilinomethyl-4-hydroxy-",0.13581818343724233,0.07503792872464428,0.4025974025974026,0.13333333333333333,0.2054794520547945,0.23943661971830985,0.2638888888888889,0.10976911122146522,0.05830570484996046,0.3163265306122449,0.10833333333333334,0.16304347826086957,0.19,0.2079207920792079,0.10098573689351978,0.053409961145015075,0.3118279569892473,0.1,0.14954742806681873,0.17391304347826086,0.19047619047619047,0.3148940949345336,0.14000550688424848,0.8333333333333334,0.3,0.14954742806681873,0.17391304347826086,0.19047619047619047
"Benzene, 1-butoxy-4-(2-n-butylamino-1-hydroxy)ethyl-2-methoxy-","Benzene, 1-butoxy-4-(2-n-butylamino-1-hydroxy)ethyl-2-methoxy-",0.10012082690953125,0.0436534710870875,0.3,0.10416666666666667,0.13333333333333333,0.14864864864864866,0.1643835616438356,0.0825331263967364,0.034716703834954725,0.23595505617977527,0.08653846153846154,0.10869565217391304,0.12121212121212122,0.13636363636363635,0.07703941711518954,0.03249076173091954,0.21568627450980393,0.08,0.10236220472440945,0.1134020618556701,0.12629535002554934,0.20111358209017877,0.07009231849942195,0.5172413793103449,0.19444444444444445,0.10236220472440945,0.1134020618556701,0.12629535002554934
"Piperidinium bromide, 3-diethylcarbamoyl-1-(p-methoxybenzyl)-","Piperidinium bromide, 3-diethylcarbamoyl-1-(p-methoxybenzyl)-",0.10418098802922451,0.04105424832530544,0.3918918918918919,0.1038961038961039,0.13333333333333333,0.15294117647058825,0.17045454545454544,0.08718176886377792,0.033702768235945424,0.32558139534883723,0.08602150537634409,0.1111111111111111,0.1262135922330097,0.14139218269653053,0.08070934444676169,0.03089116988725077,0.28865979381443296,0.07964601769911504,0.102803738317757,0.11650485436893204,0.13,0.2425359241637091,0.07837657287067777,0.6071428571428571,0.23404255319148937,0.102803738317757,0.11650485436893204,0.13
"Phenol, 3-dimethylsulfonio-4-methyl-, iodide-","Phenol, 3-dimethylsulfonio-4-methyl-, iodide-",0.12593240305532963,0.06337962234152063,0.9666666666666667,0.13043478260869565,0.1702127659574468,0.2,0.2222222222222222,0.10615602641596418,0.05290324846115225,0.9714285714285714,0.1111111111111111,0.14492753623188406,0.16666666666666666,0.18518518518518517,0.10431852109928648,0.052422685648505336,0.9714285714285714,0.10714285714285714,0.14285714285714285,0.16393442622950818,0.18461538461538463,0.23623571856955006,0.12373338294151501,0.875,0.21739130434782608,0.14285714285714285,0.16393442622950818,0.18461538461538463
"Quinazoline, 3,4-dihydro-4-hydroxy-5-nitro-","Quinazoline, 3,4-dihydro-4-hydroxy-5-nitro-",0.13565688837798773,0.07199979484521297,1.0,0.13793103448275862,0.18333333333333332,0.21052631578947367,0.25,0.10910338538657023,0.057038282352319974,1.0,0.11009174311926606,0.14814814814814814,0.16666666666666666,0.19958333333333372,0.10503201674937483,0.054893998855731416,1.0,0.10666666666666667,0.14285714285714285,0.1625,0.1891291291291292,0.31396479628962115,0.09914630973539743,1.0,0.3076923076923077,0.14285714285714285,0.1625,0.1891291291291292
