,compn,exp.pKa,pred.pKa,M.U.E
4089,4oh6ph2am135triazine_neut->an (+0 -> -1),8.1,8.47223228433355,0.3722322843335508
4090,2tebuindolizine_cation->neut (+1 -> +0),5.6,6.202410504016874,0.6024105040168743
4091,12dimeindolizine_cation->neut (+1 -> +0),7.32,6.975401674076549,0.3445983259234513
4092,23dimeindolizine_cation->neut (+1 -> +0),5.43,5.515209328368561,0.08520932836856154
4093,25dimeindolizine_cation->neut (+1 -> +0),6.83,6.794143288800284,0.035856711199715896
4094,2meindolizine_cation->neut (+1 -> +0),5.87,6.200385509721423,0.330385509721423
4095,35dimeindolizine_cation->neut (+1 -> +0),6.44,5.107270268866876,1.3327297311331243
4096,37dimeindolizine_cation->neut (+1 -> +0),5.34,4.064588803085931,1.2754111969140691
4097,3meindolizine_cation->neut (+1 -> +0),3.85,4.399693909091729,0.549693909091729
4098,5meindolizine_cation->neut (+1 -> +0),5.04,4.810856846210677,0.22914315378932315
4099,6meindolizine_cation->neut (+1 -> +0),4.81,4.6893456295691776,0.12065437043082206
4100,7meindolizine_cation->neut (+1 -> +0),5.41,5.156057299932363,0.2539427000676371
4101,123trimeindolizine_cation->neut (+1 -> +0),6.67,6.843755616825281,0.1737556168252814
4102,13adiazaindene_cation->neut (+1 -> +0),6.79,6.5870512079597585,0.20294879204024152
4103,4me17diazaindene_cation->neut (+1 -> +0),5.18,4.698597066708659,0.4814029332913403
4104,5me17diazaindene_cation->neut (+1 -> +0),4.86,4.952717024190184,0.09271702419018357
4105,6me17diazaindene_cation->neut (+1 -> +0),5.13,4.738048916212891,0.3919510837871085
4106,17adiazaindene_cation->neut (+1 -> +0),1.43,2.1026015973783894,0.6726015973783894
4107,23adiazaindene_cation->neut (+1 -> +0),5.54,5.297448453202812,0.2425515467971877
4108,3me124triazole_cation->neut (+1 -> +0),3.28,3.419365447362959,0.1393654473629593
4109,3me124triazole_neut->an (+0 -> -1),10.73,10.839869147529946,0.10986914752994537
4110,3ph124triazole_cation->neut (+1 -> +0),2.05,1.9650196062748204,0.0849803937251794
4111,3ph124triazole_neut->an (+0 -> -1),9.59,9.980139369694042,0.39013936969404206
4112,3et124triazole_cation->neut (+1 -> +0),3.2,3.503515307701229,0.3035153077012289
4113,3et124triazole_neut->an (+0 -> -1),10.69,11.028297240274794,0.3382972402747946
4114,35diam124triazole_cation->neut (+1 -> +0),4.43,4.855084385167965,0.4250843851679651
4115,35diam124triazole_neut->an (+0 -> -1),12.12,12.645001677206395,0.5250016772063955
4116,125dime13oxazol4ylethanone_cation->neut (+1 -> +0),0.2,0.016597634640654668,0.18340236535934534
4117,4me5actyloxazole_cation->neut (+1 -> +0),-0.97,-0.5521567701536583,0.4178432298463417
4118,4carboxy25dimethyloxazole_cation->neut (+1 -> +0),0.27,0.04763128615712553,0.2223687138428745
4119,4carboxy25dimethyloxazole_neut->an (+0 -> -1),4.17,3.7110346731046393,0.4589653268953606
4120,5carboxy24dimethyloxazole_cation->neut (+1 -> +0),0.38,0.43658110355712143,0.056581103557121426
4121,5carboxy24dimethyloxazole_neut->an (+0 -> -1),3.08,3.4397211907680214,0.35972119076802134
4122,4carboxy25diphenyloxazole_cation->neut (+1 -> +0),-1.32,-1.6935239030696643,0.3735239030696642
4123,4carboxy25diphenyloxazole_neut->an (+0 -> -1),3.4,3.9380126119946315,0.5380126119946316
4124,4carboxy2methyloxazole_cation->neut (+1 -> +0),-0.66,-0.772309665234201,0.11230966523420094
4125,4carboxy2methyloxazole_neut->an (+0 -> -1),3.59,3.682682408524326,0.0926824085243263
4126,5carboxy4methyloxazole_cation->neut (+1 -> +0),-0.72,-0.6510639891847374,0.06893601081526257
4127,5carboxy4methyloxazole_neut->an (+0 -> -1),2.88,3.232173076058287,0.3521730760582873
4128,2carboxy5phenyloxazole_cation->neut (+1 -> +0),-1.87,-2.236093822299705,0.366093822299705
4129,2carboxy5phenyloxazole_neut->an (+0 -> -1),1.78,2.297420190773436,0.5174201907734359
4130,24dimethyloxazole_cation->neut (+1 -> +0),2.86,3.0531392897359924,0.19313928973599248
4131,45dimethyloxazole_cation->neut (+1 -> +0),2.05,1.7166062472732708,0.333393752726729
4132,24dime5pnitrophenyloxazole_cation->neut (+1 -> +0),1.69,1.8737385693326045,0.18373856933260457
4133,24dime5phenyloxazole_cation->neut (+1 -> +0),2.4,2.6494245063658903,0.24942450636589042
4134,4me5methoxycarbonyloxazole_cation->neut (+1 -> +0),-1.0,-0.7069516387793655,0.2930483612206345
