,compn,exp.pKa,pred.pKa,M.U.E
3598,"1H-Naphth[2,3-d]imidazole, 5,6,7,8-tetrahydro- (+0 -> -1)",13.33,12.878587476535813,0.45141252346418703
3599,"1,5-Phenanthroline (+2 -> +1)",0.75,-0.6168206430612582,1.3668206430612582
3600,"1,5-Phenanthroline (+1 -> +0)",4.075,3.289527299219486,0.785472700780514
3601,"1,8-Phenanthroline, 2,7-dimethyl- (+1 -> +0)",5.06,5.421617449605062,0.36161744960506237
3602,"1,8-Phenanthroline, 2,7-dimethyl- (+2 -> +1)",2.26,2.2641871570088927,0.004187157008892939
3603,"1,8-Phenanthroline, 2,3,4,5,6,7-hexamethyl- (+1 -> +0)",6.98,6.13613342353754,0.8438665764624602
3604,"1,8-Phenanthroline, 2,4,5,7-tetramethyl- (+2 -> +1)",3.1,2.618383973442927,0.48161602655707325
3605,"1,8-Phenanthroline, 2,4,5,7-tetramethyl- (+1 -> +0)",5.1,5.649744470730845,0.549744470730845
3606,"1,10-Phenanthroline, 4-bromo- (+1 -> +0)",4.01,4.524214164773024,0.5142141647730245
3607,"1,10-Phenanthroline, 3-chloro- (+1 -> +0)",3.97,4.3109015561626896,0.34090155616268936
3608,"1,10-Phenanthroline, 4-chloro- (+1 -> +0)",4.3,4.060712703439314,0.23928729656068626
3609,"1,10-Phenanthroline, 5-chloro- (+1 -> +0)",4.18,4.26545832404148,0.0854583240414799
3610,"1,10-Phenanthroline, 4-chloro-2-methyl- (+1 -> +0)",4.53,4.512456417734551,0.017543582265449054
3611,"1,10-Phenanthroline, 4-cyano- (+1 -> +0)",3.56,3.647179984083687,0.08717998408368688
3612,"1,10-Phenanthroline, 2,4-dimethyl- (+1 -> +0)",5.94,5.9449727579944724,0.004972757994472055
3613,"1,10-Phenanthroline, 3,4-dimethyl- (+1 -> +0)",5.6,5.578667132255934,0.021332867744066064
3614,"1,10-Phenanthroline, 3,7-dimethyl- (+1 -> +0)",5.55,5.476438935069473,0.0735610649305265
3615,"1,10-Phenanthroline, 4,6-dimethyl- (+1 -> +0)",5.69,5.809317014984767,0.11931701498476688
3616,"1,10-Phenanthroline, 4,7-dimethyl- (+1 -> +0)",5.94,5.405300657965955,0.5346993420340453
