,compn,exp.pKa,pred.pKa,M.U.E
960,ophtalic_an->2an (-1 -> -2),5.41,5.445744161490168,0.035744161490168125
961,ornitine_2cation->cation (+2 -> +1),1.94,2.515831579927495,0.5758315799274949
962,ornitine_cation->neut (+1 -> +0),8.65,7.7123159438767,0.9376840561233006
963,ornitine_neut->an (+0 -> -1),10.76,10.671388895133202,0.08861110486679813
964,otoluidine_cation->neut (+1 -> +0),4.45,4.17291312713855,0.2770868728614504
965,oxalic_an->2an (-1 -> -2),4.27,4.316385798051573,0.04638579805157317
966,oxalic_neut->an (+0 -> -1),1.28,1.3329748672966044,0.05297486729660439
967,oxazole_cation->neut (+1 -> +0),0.8,1.1601081674941662,0.3601081674941662
968,p-acetylphenol_neut->an (+0 -> -1),8.05,8.093649438964796,0.04364943896479545
969,p-aminophenol_neut->an (+0 -> -1),10.3,10.608434319474291,0.3084343194742907
970,p-aminophenol_cation->neut (+1 -> +0),5.48,5.510205339714093,0.030205339714092894
971,p-chlorobenzoic_neut->an (+0 -> -1),3.99,3.986634270297688,0.0033657297023124144
972,p-chlorophenol_neut->an (+0 -> -1),9.43,9.525653017955442,0.09565301795544201
973,p-claniline_cation->neut (+1 -> +0),3.99,3.8804700732275155,0.10952992677248474
974,p-cresol_neut->an (+0 -> -1),10.26,10.128419661868033,0.13158033813196646
975,p-cyanobenzoic_neut->an (+0 -> -1),3.55,3.572514716668884,0.022514716668884382
976,p-cyanophenol_neut->an (+0 -> -1),7.95,7.910480627633689,0.03951937236631142
977,p-fluorobenzoic_neut->an (+0 -> -1),4.14,4.127798379180959,0.012201620819040748
978,p-fluorophenol_neut->an (+0 -> -1),9.89,9.803630274662954,0.08636972533704679
979,p-hydroxybenzoic_an->2an (-1 -> -2),9.23,9.131675425288908,0.0983245747110928
980,p-hydroxybenzoic_neut->an (+0 -> -1),4.58,4.508871772215071,0.07112822778492944
981,p-hydroxyphenol_neut->an (+0 -> -1),9.91,10.598285974701493,0.6882859747014933
982,p-hydroxyphenol_an->2an (-1 -> -2),12.04,11.832377027194088,0.20762297280591113
983,p-mercaptophenol_neut->an (+0 -> -1),9.53,9.203182556043405,0.3268174439565943
984,p-methoxybenzoic_neut->an (+0 -> -1),4.49,4.60459853149051,0.11459853149050936
985,p-methoxyphenol_neut->an (+0 -> -1),10.2,9.925559997496514,0.27444000250348566
986,p-methylbenzoic_neut->an (+0 -> -1),4.36,4.280488688605285,0.07951131139471546
987,p-nitroaniline_cation->neut (+1 -> +0),1.01,0.9721877113390756,0.037812288660924454
988,p-nitrobenzoic_neut->an (+0 -> -1),3.44,3.654417633277558,0.21441763327755803
989,p-nitrophenol_neut->an (+0 -> -1),7.15,6.644195934479846,0.5058040655201541
990,p-phenylphenol_neut->an (+0 -> -1),9.55,9.684509207605359,0.13450920760535823
991,p-trifluoromethylaniline_cation->neut (+1 -> +0),2.6,2.797186989866729,0.1971869898667289
992,panisidine_cation->neut (+1 -> +0),5.36,5.171488926494546,0.18851107350545426
993,pbenzbetaine_cation->neut (+1 -> +0),3.25,2.6893800710470117,0.5606199289529883
994,perimidine_cation->neut (+1 -> +0),6.35,5.935811245772168,0.4141887542278315
995,perlolidine_cation->neut (+1 -> +0),4.01,4.514655682231858,0.5046556822318582
996,perlolidine_neut->an (+0 -> -1),11.39,10.773032474354995,0.6169675256450056
997,peroxyacetic_neut->an (+0 -> -1),8.2,7.238183256812715,0.9618167431872839
998,phealanine_cation->neut (+1 -> +0),1.83,1.9337779151051393,0.10377791510513923
999,phealanine_neut->an (+0 -> -1),9.83,9.196384343478066,0.6336156565219344
1000,phenanthridine_cation->neut (+1 -> +0),4.52,4.6384957206906705,0.11849572069067094
1001,phenazine_cation->neut (+1 -> +0),1.2,1.0792108875749484,0.12078911242505153
1002,phenol_neut->an (+0 -> -1),9.99,10.062701419201819,0.0727014192018185
1003,phenoxyacetic_neut->an (+0 -> -1),3.71,3.043061638251846,0.6669383617481541
1004,phenylacetic_neut->an (+0 -> -1),4.31,4.233178689622238,0.07682131037776152
1005,phenylhidrazine_cation->neut (+1 -> +0),5.2,6.070606205803315,0.8706062058033144
1006,phenylmalonic_an->2an (-1 -> -2),5.59,6.065612301483412,0.4756123014834124
1007,phenylmalonic_neut->an (+0 -> -1),2.52,2.074301385938412,0.44569861406158795
1008,phenylphosphinic_neut->an (+0 -> -1),2.1,2.6769326150391963,0.5769326150391962
1009,phosphoramidic_an->2an (-1 -> -2),8.25,7.476899750120392,0.773100249879608
1010,phosphoramidic_neut->an (+0 -> -1),2.83,2.3419486165967482,0.4880513834032518
1011,phtalazine_cation->neut (+1 -> +0),3.47,3.710994003752318,0.24099400375231772
1012,phthalimide_neut->an (+0 -> -1),8.3,8.641590693852255,0.34159069385225393
1013,physostigmine_cation->neut (+1 -> +0),7.88,7.925177932802402,0.04517793280240223
1014,picolinic_cation->neut (+1 -> +0),1.01,1.0258730203421056,0.01587302034210558
1015,picolinic_neut->an (+0 -> -1),5.32,5.287925100932366,0.03207489906763428
1016,picric_neut->an (+0 -> -1),0.42,1.1644822852196528,0.7444822852196529
1017,piperazine_2cation->cation (+2 -> +1),5.33,5.393444732445231,0.06344473244523119
1018,piperazine_cation->neut (+1 -> +0),9.73,9.446340534075876,0.2836594659241243
1019,piperidine_cation->neut (+1 -> +0),11.12,11.203490742569446,0.08349074256944711
1020,pphenoxybenzoic_neut->an (+0 -> -1),4.52,3.810796990126498,0.7092030098735016
1021,pphtalic_neut->an (+0 -> -1),3.54,3.364307385851176,0.17569261414882398
1022,pphtalic_an->2an (-1 -> -2),4.46,4.175595909753742,0.2844040902462579
1023,proline_cation->neut (+1 -> +0),1.99,1.7810219077921055,0.20897809220789454
1024,proline_neut->an (+0 -> -1),10.6,10.81464646031916,0.21464646031916068
1025,propanoic_neut->an (+0 -> -1),4.87,4.578428823798738,0.29157117620126183
1026,propargylalcohol_neut->an (+0 -> -1),13.55,13.579396573740357,0.029396573740356757
1027,propiolic_neut->an (+0 -> -1),1.88,1.7607846247601762,0.11921537523982373
1028,pseudotropine_cation->neut (+1 -> +0),9.86,10.037799925242332,0.1777999252423328
1029,pthiocresol_neut->an (+0 -> -1),6.52,6.620307710355694,0.10030771035569419
1030,ptoluidine_cation->neut (+1 -> +0),5.08,4.968422564903424,0.11157743509657614
1031,ptolylphosphonic_neut->an (+0 -> -1),1.84,1.6347484121423035,0.2052515878576966
1032,ptolylphosphonic_an->2an (-1 -> -2),7.33,7.343146740488308,0.013146740488307884
1033,purine_neut->an (+0 -> -1),8.92,8.996764064180997,0.07676406418099724
1034,pyrazine_cation->neut (+1 -> +0),0.6,1.4515814519767742,0.8515814519767743
1035,pyridazine_cation->neut (+1 -> +0),2.33,2.6414939070460512,0.3114939070460512
1036,pyridine_cation->neut (+1 -> +0),5.17,5.175495833389597,0.005495833389597138
1037,pyridine26dicarboxylic_neut->an (+0 -> -1),2.22,0.3488186773766211,1.871181322623379
1038,pyridine26dicarboxylic_an->2an (-1 -> -2),5.22,6.433336177226301,1.2133361772263012
1039,pyridineoxide_cation->neut (+1 -> +0),0.69,0.7736547656912611,0.08365476569126118
1040,pyrimidine_cation->neut (+1 -> +0),1.3,1.6649412899787235,0.36494128997872344
1041,pyrrole2carboxylic_neut->an (+0 -> -1),4.43,4.131750530932678,0.2982494690673221
1042,pyrrole3carboxylic_neut->an (+0 -> -1),5.07,5.2484325501461635,0.17843255014616322
1043,pyrrolidine_cation->neut (+1 -> +0),11.31,10.751854293675944,0.5581457063240567
1044,quinazoline_cation->neut (+1 -> +0),1.95,2.0458329347884394,0.09583293478843946
1045,quinidine_2cation->cation (+2 -> +1),4.2,3.820778886296413,0.37922111370358724
1046,quinidine_cation->neut (+1 -> +0),8.8,8.596803117001308,0.20319688299869298
1047,quinine_2cation->cation (+2 -> +1),4.33,3.877585923520713,0.452414076479287
1048,quinine_cation->neut (+1 -> +0),8.59,8.92090985289138,0.33090985289138075
1049,quinoline_cation->neut (+1 -> +0),4.8,4.933893555275798,0.13389355527579827
1050,quinoxaline_cation->neut (+1 -> +0),0.72,0.8407557862584749,0.12075578625847494
1051,rubeanic_neut->an (+0 -> -1),10.89,10.27348738387575,0.6165126161242505
1052,s-methylisothiourea_cation->neut (+1 -> +0),9.83,9.45441414477169,0.37558585522831045
1053,saccharin_neut->an (+0 -> -1),2.32,2.2758301406798687,0.04416985932013118
1054,salicylic_an->2an (-1 -> -2),12.38,13.133167815886484,0.7531678158864832
1055,salicylic_neut->an (+0 -> -1),2.78,2.7803839156983123,0.00038391569831253136
1056,sarcosin_cation->neut (+1 -> +0),2.12,2.304797213666915,0.18479721366691493
1057,sarcosin_neut->an (+0 -> -1),10.2,9.813703572143119,0.38629642785688034
1058,sarcosinamide_cation->neut (+1 -> +0),8.02,7.572418687087122,0.4475813129128774
1059,sarcosindimethylamide_cation->neut (+1 -> +0),8.86,8.602350901903815,0.2576490980961843
1060,sarcosinmethylamide_cation->neut (+1 -> +0),8.28,8.011659863871184,0.26834013612881513
1061,semicarbazide_cation->neut (+1 -> +0),3.53,3.9120651572124867,0.3820651572124869
1062,serine_cation->neut (+1 -> +0),2.21,2.208352708788908,0.0016472912110918614
1063,serine_neut->an (+0 -> -1),9.15,8.967343528109769,0.1826564718902315
1064,serinemethylester_cation->neut (+1 -> +0),7.03,6.9039013568773235,0.1260986431226767
1065,sparteine_2cation->cation (+2 -> +1),4.49,4.535387966880467,0.04538796688046709
1066,sparteine_cation->neut (+1 -> +0),11.76,12.799423605960904,1.0394236059609039
1067,spinacine_2cation->cation (+2 -> +1),1.65,1.2649668103567464,0.3850331896432535
1068,spinacine_cation->neut (+1 -> +0),4.94,4.988590582775722,0.04859058277572181
1069,spinacine_neut->an (+0 -> -1),8.66,8.659004276654134,0.000995723345866395
1070,squaric_an->2an (-1 -> -2),3.48,3.918556403160596,0.4385564031605962
1071,squaric_neut->an (+0 -> -1),0.59,-0.12661299477522192,0.7166129947752219
1072,strychnine_cation->neut (+1 -> +0),8.2,8.41528416066047,0.2152841606604703
1073,succinamic_neut->an (+0 -> -1),4.39,4.501091137586119,0.11109113758611944
1074,succinic_neut->an (+0 -> -1),4.21,3.840186466161433,0.36981353383856685
1075,succinic_an->2an (-1 -> -2),5.64,6.671389079150399,1.031389079150399
1076,succinimide_neut->an (+0 -> -1),9.62,9.267801315172331,0.3521986848276679
1077,sulfoacetic_an->2an (-1 -> -2),4.0,4.192767236663394,0.19276723666339368
1078,tartaric_neut->an (+0 -> -1),3.03,2.5825778472425513,0.44742215275744845
1079,tartaric_an->2an (-1 -> -2),4.37,3.295365349563575,1.0746346504364253
1080,taurine_neut->an (+0 -> -1),9.06,9.380521856988334,0.3205218569883339
1081,tbutylphosphonic_neut->an (+0 -> -1),2.79,2.9041380521198272,0.1141380521198272
1082,tbutylphosphonic_an->2an (-1 -> -2),8.88,8.261212756083175,0.6187872439168256
1083,tbutylthiol_neut->an (+0 -> -1),11.2,11.010710176732367,0.18928982326763233
1084,tertbutanoic_neut->an (+0 -> -1),5.03,4.892962259688975,0.13703774031102522
1085,tertbutanol_neut->an (+0 -> -1),16.0,16.489589059812875,0.48958905981287515
1086,tertbutylamine_cation->neut (+1 -> +0),10.69,10.842573119805397,0.1525731198053979
1087,tertbutylaniline_cation->neut (+1 -> +0),7.1,6.424690396964592,0.6753096030354078
1088,tertbutyldimethylamine_cation->neut (+1 -> +0),10.52,10.725562531758396,0.205562531758396
1089,tertbutylhydroperoxide_neut->an (+0 -> -1),12.8,12.38631825191231,0.41368174808769
1090,tetrahydroisoquinoline_cation->neut (+1 -> +0),9.41,8.820123736163023,0.5898762638369774
1091,tetrahydroquinazoline_cation->neut (+1 -> +0),7.63,8.065052042987947,0.4350520429879472
1092,tetrahydroquinoline_cation->neut (+1 -> +0),5.03,5.057087535686218,0.027087535686217912
1093,tetrahydroquinoxaline_cation->neut (+1 -> +0),4.48,4.980144441757669,0.5001444417576684
1094,tetramethylbenzoic_neut->an (+0 -> -1),3.42,3.550251921075845,0.13025192107584527
1095,tetramethylethylenediamine_2cation->cation (+2 -> +1),5.85,6.561338761224767,0.7113387612247672
1096,tetramethylethylenediamine_cation->neut (+1 -> +0),8.97,8.883104024917468,0.08689597508253222
1097,tetramethylpyrazine_cation->neut (+1 -> +0),3.6,3.4759938742412997,0.1240061257587004
